headline,label,category,explanation_tokens
New Technology Aims to Improve Startup Efficiency,0,none,
Researchers Find Correlation Between Students and Water,0,none,
Startup Launches Initiative to Support Startup Development,0,none,
Mobile Department Introduces Updated Guidelines,0,none,
This One Mobile Mistake Could Ruin Everything!,1,shock_value,Technology|Students
New Technology Aims to Improve Health Efficiency,0,none,
Startup Announces New Policy for 2025,0,none,
Study Shows Increase in Students Over Last Decade,0,none,
Water Department Introduces Updated Guidelines,0,none,
Top 10 Engineers Ideas That Are Blowing Up the Internet!,1,curiosity_gap,Mobile|Technology
New Technology Aims to Improve Startup Efficiency,0,none,
These Finance Facts Will Shock You!,1,shock_value,Water|Technology
Scientists Discover New Method to Improve Startup,0,none,
Experts Discuss Challenges in Students Sector,0,none,
Water Announces New Policy for 2025,0,none,
Research Department Introduces Updated Guidelines,0,none,
She Did Technology and You Won’t Guess What Happened Next!,1,emotional,Health|Research
Researchers Find Correlation Between Technology and Mobile,0,none,
Technology Department Introduces Updated Guidelines,0,none,
Doctors Hate This Simple Research Trick!,1,curiosity_gap,Health|Technology
Research Department Introduces Updated Guidelines,0,none,
This Technology Hack Will Change Your Life Forever!,1,emotional,Kerala|Technology
These Water Facts Will Shock You!,1,emotional,Research|Finance
Government Releases Report on AI,0,none,
How This Kerala Girl Became Famous Overnight!,1,shock_value,Research|Environment
You Won't Believe What Happened When Environment Tried This!,1,curiosity_gap,Mobile|Engineers
How This Engineers Girl Became Famous Overnight!,1,emotional,Students|Finance
Study Shows Increase in Kerala Over Last Decade,0,none,
Researchers Find Correlation Between Engineers and Kerala,0,none,
Researchers Find Correlation Between Research and Startup,0,none,
Doctors Hate This Simple Kerala Trick!,1,shock_value,AI|Kerala
Doctors Hate This Simple Technology Trick!,1,exaggeration,AI|Engineers
Researchers Find Correlation Between Education and Environment,0,none,
10 Finance Secrets the Experts Don’t Want You to Know!,1,emotional,Technology|Research
She Did Students and You Won’t Guess What Happened Next!,1,shock_value,Students|Engineers
She Did Education and You Won’t Guess What Happened Next!,1,shock_value,Water|Finance
Experts Discuss Challenges in Mobile Sector,0,none,
New Technology Aims to Improve Finance Efficiency,0,none,
Engineers Announces New Policy for 2025,0,none,
Doctors Hate This Simple Kerala Trick!,1,emotional,Technology|Environment
Top 10 Environment Ideas That Are Blowing Up the Internet!,1,exaggeration,Research|Startup
Top 10 Environment Ideas That Are Blowing Up the Internet!,1,misleading_number,Research|Mobile
People Are Freaking Out About This Environment Discovery!,1,curiosity_gap,Finance|Mobile
New Technology Aims to Improve Finance Efficiency,0,none,
These Technology Facts Will Shock You!,1,misleading_number,Students|Technology
She Did Research and You Won’t Guess What Happened Next!,1,misleading_number,Kerala|Water
Experts Discuss Challenges in Environment Sector,0,none,
New Technology Aims to Improve Environment Efficiency,0,none,
These Environment Facts Will Shock You!,1,curiosity_gap,Kerala|AI
Government Releases Report on Technology,0,none,
Experts Discuss Challenges in Finance Sector,0,none,
Government Releases Report on Technology,0,none,
10 Engineers Secrets the Experts Don’t Want You to Know!,1,emotional,Mobile|Engineers
Experts Discuss Challenges in AI Sector,0,none,
People Are Freaking Out About This Research Discovery!,1,curiosity_gap,Water|Students
Top 10 Technology Ideas That Are Blowing Up the Internet!,1,misleading_number,Technology|Finance
Study Shows Increase in Finance Over Last Decade,0,none,
People Are Freaking Out About This Kerala Discovery!,1,misleading_number,Education|Health
This Technology Hack Will Change Your Life Forever!,1,exaggeration,Health|Environment
New Technology Aims to Improve Kerala Efficiency,0,none,
You Won't Believe What Happened When Technology Tried This!,1,misleading_number,AI|Education
10 Technology Secrets the Experts Don’t Want You to Know!,1,exaggeration,Health|Technology
New Technology Aims to Improve Mobile Efficiency,0,none,
You Won't Believe What Happened When Health Tried This!,1,emotional,Finance|Kerala
Study Shows Increase in Technology Over Last Decade,0,none,
Study Shows Increase in Kerala Over Last Decade,0,none,
Technology Launches Initiative to Support Environment Development,0,none,
Government Releases Report on Education,0,none,
Top 10 Health Ideas That Are Blowing Up the Internet!,1,misleading_number,Environment|Kerala
New Technology Aims to Improve Students Efficiency,0,none,
10 Health Secrets the Experts Don’t Want You to Know!,1,curiosity_gap,Water|Kerala
You Won't Believe What Happened When Technology Tried This!,1,exaggeration,Startup|Finance
Government Releases Report on Health,0,none,
Technology Department Introduces Updated Guidelines,0,none,
This One Engineers Mistake Could Ruin Everything!,1,emotional,Mobile|Education
This One Kerala Mistake Could Ruin Everything!,1,shock_value,Environment|Health
Survey Reveals Trends in Mobile for 2024,0,none,
You Won't Believe What Happened When Finance Tried This!,1,exaggeration,Education|Health
Government Releases Report on Mobile,0,none,
10 Finance Secrets the Experts Don’t Want You to Know!,1,misleading_number,Students|Education
New Technology Aims to Improve Engineers Efficiency,0,none,
Top 10 Finance Ideas That Are Blowing Up the Internet!,1,curiosity_gap,Students|Technology
People Are Freaking Out About This Kerala Discovery!,1,misleading_number,Engineers|Finance
Doctors Hate This Simple Mobile Trick!,1,emotional,Health|Education
10 Finance Secrets the Experts Don’t Want You to Know!,1,emotional,Education|Startup
Government Releases Report on Mobile,0,none,
Government Releases Report on Mobile,0,none,
New Technology Aims to Improve Health Efficiency,0,none,
Finance Announces New Policy for 2025,0,none,
This Mobile Hack Will Change Your Life Forever!,1,emotional,AI|Health
She Did AI and You Won’t Guess What Happened Next!,1,emotional,Finance|Education
You Won't Believe What Happened When Engineers Tried This!,1,misleading_number,Technology|Mobile
Study Shows Increase in Students Over Last Decade,0,none,
This One Research Mistake Could Ruin Everything!,1,exaggeration,AI|Health
Government Releases Report on Water,0,none,
How This Finance Girl Became Famous Overnight!,1,exaggeration,Research|AI
Scientists Discover New Method to Improve Health,0,none,
Top 10 Students Ideas That Are Blowing Up the Internet!,1,shock_value,Health|Students
Top 10 Water Ideas That Are Blowing Up the Internet!,1,misleading_number,Students|Water
Study Shows Increase in Kerala Over Last Decade,0,none,
Experts Discuss Challenges in Environment Sector,0,none,
People Are Freaking Out About This Research Discovery!,1,emotional,Technology|Kerala
Startup Launches Initiative to Support Health Development,0,none,
Top 10 Mobile Ideas That Are Blowing Up the Internet!,1,curiosity_gap,Health|Mobile
New Technology Aims to Improve AI Efficiency,0,none,
Kerala Announces New Policy for 2025,0,none,
Study Shows Increase in Education Over Last Decade,0,none,
Students Department Introduces Updated Guidelines,0,none,
People Are Freaking Out About This Students Discovery!,1,curiosity_gap,Research|Health
Researchers Find Correlation Between AI and AI,0,none,
Water Announces New Policy for 2025,0,none,
Survey Reveals Trends in Education for 2024,0,none,
Startup Department Introduces Updated Guidelines,0,none,
Mobile Announces New Policy for 2025,0,none,
10 Startup Secrets the Experts Don’t Want You to Know!,1,emotional,Health|Water
How This Research Girl Became Famous Overnight!,1,curiosity_gap,Startup|AI
Doctors Hate This Simple AI Trick!,1,shock_value,Education|Engineers
Researchers Find Correlation Between Kerala and AI,0,none,
Experts Discuss Challenges in Mobile Sector,0,none,
This Research Hack Will Change Your Life Forever!,1,emotional,Engineers|Students
Survey Reveals Trends in Technology for 2024,0,none,
10 Engineers Secrets the Experts Don’t Want You to Know!,1,curiosity_gap,Environment|Education
Researchers Find Correlation Between Health and Research,0,none,
How This Health Girl Became Famous Overnight!,1,misleading_number,Technology|Environment
10 Mobile Secrets the Experts Don’t Want You to Know!,1,curiosity_gap,Water|Startup
Survey Reveals Trends in Engineers for 2024,0,none,
Technology Department Introduces Updated Guidelines,0,none,
How This Mobile Girl Became Famous Overnight!,1,shock_value,AI|Water
Environment Department Introduces Updated Guidelines,0,none,
Experts Discuss Challenges in Education Sector,0,none,
